post_type,post_status,post_title,post_content,post_category,post_tags,post_thumbnail,download_link
post,publish,Ayla," A man haunted by the mysterious death of his 4-year-old sister brings her back to life thirty years later as an adult woman, with dire consequences. ","Drama,Fantasy,Horror,Thriller",2017,https://yts.am/assets/images/movies/ayla_2017/medium-cover.jpg,https://yts.am/torrent/download/20BDFB2B3410DC8E755F9F8DABE81E554E7D33F1
post,publish,For the Love of Benji," Benji sniffs out a bogus CIA agent in Athens, Greece. ","Adventure,Comedy,Drama,Family",1977,https://yts.am/assets/images/movies/for_the_love_of_benji_1977/medium-cover.jpg,https://yts.am/torrent/download/7593C128B34DFE7CF26B709F3862A95B92F55DEA
post,publish,Aliens Ate My Homework," Extraterrestrials invade Earth and a pair of middle schoolers hold the fate of the world in their hands in Aliens Ate My Homework, a delightfully comical intergalactic adventure from Universal 1440 and Lay-Carnagey Entertainment. Aliens Ate My Homework is based on the first book in the wildly successful Rod Allbright and the Galactic Patrol series. ","Adventure,Comedy,Family,Fantasy,Sci-Fi",2018,https://yts.am/assets/images/movies/aliens_ate_my_homework_2018/medium-cover.jpg,https://yts.am/torrent/download/D6F4EE82708D8708A220407911818DCA2C88FC5B
post,publish,White Collar Blues," Based on Paolo Villaggio's books ""Fantozzi"" and ""Il secondo, tragico Fantozzi"", which are popular in Italy, this film tells the story of an unfortunate accountant's life over the course of one year, shown in a variety of sketches, segments and provocative sequences making Fantozzi a very unlucky person indeed. ",Comedy,1975,https://yts.am/assets/images/movies/white_collar_blues_1975/medium-cover.jpg,https://yts.am/torrent/download/2EB102A3CCF78C783060968809FF6773333EFC78
post,publish,Adventures in Babysitting," Two teen rival babysitters, Jenny and Lola, team up to hunt down one of their kids who accidentally runs away into the big city without any supervision. ","Adventure,Comedy,Family",2016,https://yts.am/assets/images/movies/adventures_in_babysitting_2016/medium-cover.jpg,https://yts.am/torrent/download/9E96B7459FC6727EEA9A1401C35D229640E326A4
post,publish,Ghetto Goblin," Strange attacks plague the township's women, leaving the town leaders at a loss to defend them. At the same time Mthnuzi, a shrewd businessman, is becoming wealthier and more popular with the ladies - something is amiss. The local reverend, Simon Nkosi, learns that Mthunzi is controlling a Tokoloshe to fulfill his greedy desires. In his greed he breaks a golden rule of maintaining control over the beast and it goes on a rampage. Now its thirst for blood is strong and comes after Mthunzi's women, saving the one he loves for last. Together with Reverend Simon they must take on a mythical beast that has never been defeated, to try and save. ",Horror,2013,https://yts.am/assets/images/movies/ghetto_goblin_2013/medium-cover.jpg,https://yts.am/torrent/download/9425F185CAF902A99DA8ADB80203C656E65749B9
post,publish,Cover Versions," Four band members tell varying accounts of a night of sex, drugs, and murder before their first big show at a popular music festival. ",Mystery,2018,https://yts.am/assets/images/movies/cover_versions_2018/medium-cover.jpg,https://yts.am/torrent/download/C68D846947131795EC079ACBFB99A577EA6AC976
post,publish,Banana in a Nutshell," An intimate portrait of a Chinese-European couple in New Zealand, and their journey to get a blessing for marriage from traditional Chinese parents. ",Documentary,2005,https://yts.am/assets/images/movies/banana_in_a_nutshell_2005/medium-cover.jpg,https://yts.am/torrent/download/B614BC265734613E687F5A719DDDB795D8868832
post,publish,Valley of Bones," ""Valley of Bones"" is a nail-biting adventure thriller set in the oil-rich Badlands of western North Dakota. Anna, a single mother and paleontologist, and McCoy, a meth-addicted oil worker, form an unlikely bond as they both struggle to make amends for their criminal pasts. Their hopes lay in the form of a monumental T. rex fossil, the discovery potentially worth millions. Anna needs this once-in-a-lifetime find to set both her career and her relationship with her son back on track. McCoy needs the money to pay off his debts to a local cartel boss and to save his own young daughter's life. With their motivations over the bones pulling them in opposite directions, can Anna and McCoy trust one another or will they soon turn into adversaries themselves? ","Crime,Thriller,Western",2017,https://yts.am/assets/images/movies/valley_of_bones_2017/medium-cover.jpg,https://yts.am/torrent/download/F349CA3B53C7ABC31B65ADBA95C05B933BE98478
post,publish,Beyond the Edge, Contemporary Moscow. A talented gambler gathers a team of people with superpowers to win big at a casino. But at the game he finds himself up against a much stronger mystical rival and ends up in a deadlock putting in danger himself and his team that he has grown to love. To save his friends and his girlfriend the lead character will have to go above and beyond. ,"Action,Adventure,Fantasy",2018,https://yts.am/assets/images/movies/beyond_the_edge_2018/medium-cover.jpg,https://yts.am/torrent/download/F925EA5C9542C3EAFDCE647EB8A3E9BD3C4F58C5
post,publish,You Were Never Really Here," Balancing between feverish dreamlike hallucinations of a tormented past and a grim disoriented reality, the grizzled Joe--a traumatised Gulf War veteran and now an unflinching hired gun who lives with his frail elderly mother--has just finished successfully yet another job. With an infernal reputation of being a brutal man of results, the specialised in recovering missing teens enforcer will embark on a blood-drenched rescue mission, when Nina, the innocent 13-year-old daughter of an ambitious New York senator, never returns home. But amidst half-baked leads and a desperate desire to shake off his shoulders the heavy burden of a personal hell, Joe's frenzied plummet into the depths of Tartarus is inevitable, and every step Joe takes to flee the pain, brings him closer to the horrors of insanity. In the end, what is real, and what is a dream? Can there be a new chapter in Joe's life when he keeps running around in circles? ","Drama,Mystery,Thriller",2017,https://yts.am/assets/images/movies/you_were_never_really_here_2017/medium-cover.jpg,https://yts.am/torrent/download/5BD7C7285ECA2E4839A6B5EFFFC355AE66365CE4
post,publish,Hostiles," In 1892, after nearly two decades of fighting the Cheyenne, the Apache, and the Comanche natives, the United States Cavalry Captain and war hero, Joseph Blocker, is ordered to escort the ailing Cheyenne chief, Yellow Hawk--his most despised enemy--to his ancestral home in Montana's Valley of the Bears. Nauseated with a baleful anger, Joseph's unwelcome final assignment in the feral American landscape is further complicated, when the widowed settler, Rosalie Quaid, is taken in by the band of soldiers, as aggressive packs of marauding Comanches who are still on the warpath, are thirsty for blood. In a territory crawling with hostiles, can the seasoned Captain do his duty one last time? ","Adventure,Drama,Western",2017,https://yts.am/assets/images/movies/hostiles_2017/medium-cover.jpg,https://yts.am/torrent/download/C8577F68F96E56225F5F65EFB854E5C8EAD34C9F
post,publish,Den of Thieves, A gritty L.A crime saga which follows the intersecting and often personally connected lives of an elite unit of the LA County Sheriff's Dept. and the state's most successful bank robbery crew as the outlaws plan a seemingly impossible heist on the Federal Reserve Bank of downtown Los Angeles. ,"Action,Crime,Drama,Mystery,Thriller",2018,https://yts.am/assets/images/movies/den_of_thieves_2018/medium-cover.jpg,https://yts.am/torrent/download/567BBA2F05838D94F4C760D403E99AE069451A53
post,publish,V.I.P.," The son (Lee Jong-Suk) of a high-ranking North Korean official is suspected of committing serial murders around the world. To stop the killer, South Korea, North Korea and Interpol chase after him. ","Action,Crime,Thriller",2017,https://yts.am/assets/images/movies/v_i_p_2017/medium-cover.jpg,https://yts.am/torrent/download/30CD7ED757733B1D4AE5AEEE9B4D6143510EAE9C
post,publish,The Snorkel," Paul Decker murders his wife in her Italian villa by drugging her milk and asphyxiating her by gas. He cleverly locks the bedroom from the inside and hides inside a trapdoor in the floor until after the body is discovered by servants. He uses a scuba snorkel connected to tubes on the outside to breathe during the ordeal. Decker's stepdaughter Candy suspects him immediately, especially since no suicide note was found. She also is convinced that he murdered her father years before, but her accusations fall on deaf ears. The ruthless Decker even poisons the family spaniel when the pet takes too great an interest in the mask and realizes he will ultimately have to get rid of Candy too. ","Crime,Horror,Mystery,Thriller",1958,https://yts.am/assets/images/movies/the_snorkel_1958/medium-cover.jpg,https://yts.am/torrent/download/CD8A22B3353567F6C4CEC41F5E1777516DE4AB0C
post,publish,Stop Me Before I Kill!, High-strung race car driver Alan Colby is trying to recover from a serious head injury. Alan and his lovely new wife Denise go on vacation to the South of France for some much needed rest and relaxation. But Alan is having trouble resisting his more violent impulses. Suave local psychiatrist David Prade offers to help Alan out. ,"Drama,Horror,Mystery,Thriller",1960,https://yts.am/assets/images/movies/stop_me_before_i_kill_1960/medium-cover.jpg,https://yts.am/torrent/download/CD6AE38A5BD16732C64D982A3379687D7E453E44
post,publish,Walk Hard: The Dewey Cox Story," The up-and-down-and-up-again story of musician Dewey Cox, whose songs would change a nation. On his rock 'n roll spiral, Cox sleeps with 411 women, marries three times, has 36 kids, stars in his own 70s TV show, collects friends ranging from Elvis to the Beatles to a chimp, and gets addicted to - and then kicks - every drug known to man; but despite it all, Cox grows into a national icon and eventually earns the love of a good woman - longtime backup singer Darlene. ","Comedy,Music",2007,https://yts.am/assets/images/movies/walk_hard_the_dewey_cox_story_2007/medium-cover.jpg,https://yts.am/torrent/download/72520157FF0B6FB9904D59B9A1993749FC2859D0
post,publish,Underworld U.S.A.," Fourteen-year-old Tolly Devlin sees four hoods beat his father to death. Twenty years later, the killers have risen to the top of the crime syndicate and Tolly has a plan for revenge. ","Crime,Drama,Thriller",1961,https://yts.am/assets/images/movies/underworld_u_s_a_1961/medium-cover.jpg,https://yts.am/torrent/download/269128738106B979320DEF1893FA362C82BA68CA
post,publish,Night of the Howling Beast," Waldemar, the renowned adventurer, joins an expedition to find the Yeti in the Himalayas. While hiking the mountains, he's captured by two cannibalistic demon nymphets guarding a remote Buddhist temple and becomes their sex-slave. They transform him into a werewolf setting him loose to roam the mountain where he encounters a sadistic bandit. ","Adventure,Horror",1975,https://yts.am/assets/images/movies/night_of_the_howling_beast_1975/medium-cover.jpg,https://yts.am/torrent/download/F75671904E79E759AC7F0134661EAFB2C5068507
post,publish,The Proud Ones," Marshal Silver is run out of town under suspicion of being a trigger-happy killer after shooting a hired gun of Honest John Barrett. A placid life in a new town is interrupted by the reappearance of Barrett, old enemies and the son of the hired gun from years ago, Anderson. ",Western,1956,https://yts.am/assets/images/movies/the_proud_ones_1956/medium-cover.jpg,https://yts.am/torrent/download/77BD2FE701EE6777C63CA0FB66C821CD7619AA87
post,publish,For the Love of Benji," Benji sniffs out a bogus CIA agent in Athens, Greece. ","Adventure,Comedy,Drama,Family",1977,https://yts.am/assets/images/movies/for_the_love_of_benji_1977/medium-cover.jpg
